observationId,sensorId,sensorType,observedAt,measurement,value,unit,quality
observation_7d56ccde7ad62bf1,temperature_bathroom_01,temperature,2026-08-10T00:00:00+02:00,temperature,19.5,celsius,nominal
observation_fd532b4e86dabc35,temperature_bedroom_01,temperature,2026-08-10T00:00:00+02:00,temperature,19.5,celsius,nominal
observation_5164055a32af3155,temperature_hallway_01,temperature,2026-08-10T00:00:00+02:00,temperature,19.5,celsius,nominal
observation_b1b15f7327a0e7d8,temperature_kitchen_01,temperature,2026-08-10T00:00:00+02:00,temperature,19.5,celsius,nominal
observation_b38774a0ca198295,temperature_living_room_01,temperature,2026-08-10T00:00:00+02:00,temperature,19.5,celsius,nominal
observation_507f5d8b4774745d,temperature_bathroom_01,temperature,2026-08-10T00:15:00+02:00,temperature,19.0,celsius,nominal
observation_1d1233b666c2bb4b,temperature_bedroom_01,temperature,2026-08-10T00:15:00+02:00,temperature,19.0,celsius,nominal
observation_b4ccdc8adc9e9f44,temperature_hallway_01,temperature,2026-08-10T00:15:00+02:00,temperature,19.0,celsius,nominal
observation_78a79820d86d5f99,temperature_kitchen_01,temperature,2026-08-10T00:15:00+02:00,temperature,19.0,celsius,nominal
observation_4038287276441b5c,temperature_living_room_01,temperature,2026-08-10T00:15:00+02:00,temperature,19.0,celsius,nominal
observation_1446db997541d75b,temperature_bathroom_01,temperature,2026-08-10T00:30:00+02:00,temperature,19.0,celsius,nominal
observation_2e5ef0c4d43297f8,temperature_bedroom_01,temperature,2026-08-10T00:30:00+02:00,temperature,19.0,celsius,nominal
observation_a833291d08da38c8,temperature_hallway_01,temperature,2026-08-10T00:30:00+02:00,temperature,19.0,celsius,nominal
observation_e6d0824eaa2eaa47,temperature_kitchen_01,temperature,2026-08-10T00:30:00+02:00,temperature,19.0,celsius,nominal
observation_2ae98671f73ca7a6,temperature_living_room_01,temperature,2026-08-10T00:30:00+02:00,temperature,19.0,celsius,nominal
observation_50e363b7465f6202,temperature_bathroom_01,temperature,2026-08-10T00:45:00+02:00,temperature,19.0,celsius,nominal
