observationId,sensorId,sensorType,observedAt,measurement,value,unit,quality
observation_1b83d1073694c24b,temperature_kitchen_01,temperature,2026-08-10T00:01:53.932109+02:00,temperature,23.3,celsius,noisy
observation_740e1bd97bcd66f8,temperature_hallway_01,temperature,2026-08-10T00:02:45.936469+02:00,temperature,23.3,celsius,noisy
observation_350eace612374596,temperature_bedroom_01,temperature,2026-08-10T00:03:15.874136+02:00,temperature,23.3,celsius,noisy
observation_6001f0ff6f5c9b21,temperature_living_room_01,temperature,2026-08-10T00:13:27.194312+02:00,temperature,24.5,celsius,noisy
observation_2a791ab73c3cd4ff,temperature_bathroom_01,temperature,2026-08-10T00:14:23.617819+02:00,temperature,24.4,celsius,noisy
observation_abbbf4c1819518fb,temperature_kitchen_01,temperature,2026-08-10T00:16:53.932109+02:00,temperature,23.1,celsius,noisy
observation_be154f579fbc6c80,temperature_bedroom_01,temperature,2026-08-10T00:18:15.874136+02:00,temperature,23.0,celsius,noisy
observation_f6045ed2d9c67ed8,temperature_living_room_01,temperature,2026-08-10T00:28:27.194312+02:00,temperature,24.2,celsius,noisy
observation_bc95105dd0bb6e7f,temperature_bathroom_01,temperature,2026-08-10T00:29:23.617819+02:00,temperature,24.1,celsius,noisy
observation_90e22fcac63b2ab8,temperature_kitchen_01,temperature,2026-08-10T00:31:53.932109+02:00,temperature,23.2,celsius,noisy
observation_72eaca197768ecc7,temperature_hallway_01,temperature,2026-08-10T00:32:45.936469+02:00,temperature,23.1,celsius,noisy
observation_4fc3ff474c755cd9,temperature_bedroom_01,temperature,2026-08-10T00:33:15.874136+02:00,temperature,23.2,celsius,noisy
observation_0828b8be671abfe7,temperature_living_room_01,temperature,2026-08-10T00:43:27.194312+02:00,temperature,23.9,celsius,noisy
observation_4a3fa747643ea94b,temperature_bathroom_01,temperature,2026-08-10T00:44:23.617819+02:00,temperature,24.1,celsius,noisy
observation_2f68a8deaae0cffd,temperature_kitchen_01,temperature,2026-08-10T00:46:53.932109+02:00,temperature,22.6,celsius,noisy
observation_eec63b9972433c9e,temperature_hallway_01,temperature,2026-08-10T00:47:45.936469+02:00,temperature,22.8,celsius,noisy
observation_76542a3a64a516d9,temperature_bedroom_01,temperature,2026-08-10T00:48:15.874136+02:00,temperature,22.8,celsius,noisy
observation_b8d119141bce35e5,temperature_living_room_01,temperature,2026-08-10T00:58:27.194312+02:00,temperature,24.0,celsius,noisy
observation_a53d07e415271470,temperature_bathroom_01,temperature,2026-08-10T00:59:23.617819+02:00,temperature,24.1,celsius,noisy
observation_bb66dc762d912c8a,temperature_kitchen_01,temperature,2026-08-10T01:01:53.932109+02:00,temperature,22.8,celsius,noisy
observation_c47c30a44bff185a,temperature_hallway_01,temperature,2026-08-10T01:02:45.936469+02:00,temperature,22.6,celsius,noisy
observation_b1a2345ea11ed216,temperature_bedroom_01,temperature,2026-08-10T01:03:15.874136+02:00,temperature,22.6,celsius,noisy
observation_8eefab9123b5dbd5,temperature_living_room_01,temperature,2026-08-10T01:13:27.194312+02:00,temperature,23.7,celsius,noisy
observation_bf0360d69725aee5,temperature_bathroom_01,temperature,2026-08-10T01:14:23.617819+02:00,temperature,23.7,celsius,noisy
observation_ce207063126c98d7,temperature_kitchen_01,temperature,2026-08-10T01:16:53.932109+02:00,temperature,22.5,celsius,noisy
observation_826434a11ef352fc,temperature_hallway_01,temperature,2026-08-10T01:17:45.936469+02:00,temperature,22.5,celsius,noisy
observation_01d80852b8d95bcf,temperature_bedroom_01,temperature,2026-08-10T01:18:15.874136+02:00,temperature,22.3,celsius,noisy
