transitionId,at,subjectType,subjectId,fact,previousValue,value,operation,causality
state_f054ab6fadfb9f6d,2026-08-10T06:35:00+02:00,resident,tommaso_bianchi,location,,bedroom_01,set,"{""causeId"":""action_da9b5733d5590849"",""causeType"":""action_effect""}"
state_213b359880929e62,2026-08-10T06:40:00+02:00,resident,tommaso_bianchi,posture,,standing,set,"{""causeId"":""action_2b56ddeec7a02f05"",""causeType"":""action_effect""}"
state_424ccf760292844c,2026-08-10T06:40:00+02:00,resident,tommaso_bianchi,posture,standing,standing,set,"{""causeId"":""action_2b56ddeec7a02f05"",""causeType"":""action_effect""}"
state_1d1e6af7cc510fd4,2026-08-10T06:46:15+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_5e2cb440bc24e157"",""causeType"":""process_edge""}"
state_edd31fa3e436c82b,2026-08-10T06:46:15+02:00,resident,tommaso_bianchi,location,bedroom_01,bedroom_01,set,"{""causeId"":""action_5a5a3755d9139299"",""causeType"":""action_effect""}"
state_015258cba053788e,2026-08-10T06:46:15.833333+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_5e2cb440bc24e157"",""causeType"":""process_edge""}"
state_0886d554c04ca8d7,2026-08-10T06:47:30+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_57658f07e65a9cc0"",""causeType"":""process_edge""}"
state_62ba3c39009df660,2026-08-10T06:47:30+02:00,resident,tommaso_bianchi,carrying.medication,,True,set,"{""causeId"":""action_5e2cb440bc24e157"",""causeType"":""action_effect""}"
state_4410f116e7e9c9ba,2026-08-10T06:47:31.666667+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_57658f07e65a9cc0"",""causeType"":""process_edge""}"
state_1e6ee9ead7090e30,2026-08-10T06:48:45+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_697c2e674853e365"",""causeType"":""process_edge""}"
state_e54ce72d09245946,2026-08-10T06:48:46.666667+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_697c2e674853e365"",""causeType"":""process_edge""}"
state_35446ba71e9d979f,2026-08-10T06:50:00+02:00,resident,tommaso_bianchi,carrying.medication,True,False,set,"{""causeId"":""action_697c2e674853e365"",""causeType"":""action_effect""}"
state_ead02580c6384461,2026-08-10T06:50:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_b1b4dac205544a82"",""causeType"":""process_edge""}"
state_38a46b1a1129c594,2026-08-10T06:50:04.166667+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_b1b4dac205544a82"",""causeType"":""process_edge""}"
state_d149dc9a8681a8f7,2026-08-10T06:54:00+02:00,resident,tommaso_bianchi,location,bedroom_01,bathroom_01,set,"{""causeId"":""action_b1b4dac205544a82"",""causeType"":""action_effect""}"
state_cd41b0e6f09c8da2,2026-08-10T07:02:00+02:00,entity,service_bathroom_01,active,False,True,set,"{""causeId"":""action_c50ff4b9a34e60c6"",""causeType"":""action_effect""}"
state_86189c4698d41a28,2026-08-10T07:10:00+02:00,entity,service_bathroom_01,active,True,False,set,"{""causeId"":""action_92c562f3424b5b86"",""causeType"":""action_effect""}"
state_c9a0a93d8a2962dd,2026-08-10T07:15:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_60f27f894b1701d6"",""causeType"":""process_edge""}"
state_13ebd2e982cf948d,2026-08-10T07:15:05+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_60f27f894b1701d6"",""causeType"":""process_edge""}"
state_e8a574f03fa20e21,2026-08-10T07:17:16.363636+02:00,resident,tommaso_bianchi,location,bathroom_01,kitchen_01,set,"{""causeId"":""action_60f27f894b1701d6"",""causeType"":""action_effect""}"
state_702f9ec854cbfabd,2026-08-10T07:19:32.727272+02:00,entity,service_kitchen_01,open,False,True,set,"{""causeId"":""action_48b1daaa4c894beb"",""causeType"":""action_effect""}"
state_d7404727a734c3d2,2026-08-10T07:21:49.090908+02:00,resident,tommaso_bianchi,carrying.food_preparation_area,,True,set,"{""causeId"":""action_4d9345846004e422"",""causeType"":""action_effect""}"
state_3abe44a26b6f1219,2026-08-10T07:24:05.454544+02:00,entity,service_kitchen_01,open,True,False,set,"{""causeId"":""action_750998f205b353c8"",""causeType"":""action_effect""}"
state_9e2cf82303d4bb38,2026-08-10T07:26:21.818180+02:00,entity,service_kitchen_01,active,False,True,set,"{""causeId"":""action_ba8bfb88e853b716"",""causeType"":""action_effect""}"
state_d46c3a8d6646dc80,2026-08-10T07:30:54.545452+02:00,entity,service_kitchen_01,active,True,False,set,"{""causeId"":""action_0fe40b3cc4bfcca1"",""causeType"":""action_effect""}"
state_1c79cf3fe648ccfa,2026-08-10T07:33:10.909088+02:00,resident,tommaso_bianchi,carrying.food_preparation_area,True,False,set,"{""causeId"":""action_59952282931ba44a"",""causeType"":""action_effect""}"
state_923aafd9f2af798a,2026-08-10T07:35:27.272724+02:00,resident,tommaso_bianchi,posture,standing,sitting,set,"{""causeId"":""action_f9991b2f41fd818d"",""causeType"":""action_effect""}"
state_b320f967082adbf6,2026-08-10T07:35:27.272724+02:00,resident,tommaso_bianchi,posture,standing,sitting,set,"{""causeId"":""action_f9991b2f41fd818d"",""causeType"":""action_effect""}"
state_41c4f71afbf1380e,2026-08-10T07:37:43.636360+02:00,entity,service_kitchen_01,service_kitchen_01.consumption_area.consumed,0,1,increment,"{""causeId"":""action_d388c6ea5ba1c95c"",""causeType"":""action_effect""}"
state_06b23a24de7395c8,2026-08-10T07:39:59.999996+02:00,resident,tommaso_bianchi,posture,sitting,standing,set,"{""causeId"":""action_22bd18875d0301f2"",""causeType"":""action_effect""}"
state_e0b1d6a8df264409,2026-08-10T07:39:59.999996+02:00,resident,tommaso_bianchi,posture,sitting,standing,set,"{""causeId"":""action_22bd18875d0301f2"",""causeType"":""action_effect""}"
state_348ac87151d0e224,2026-08-10T07:45:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_2fcd2c319014c803"",""causeType"":""process_edge""}"
state_d903d73c7b73f7ef,2026-08-10T07:46:12.500000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_2fcd2c319014c803"",""causeType"":""process_edge""}"
state_4931f7a75c33372b,2026-08-10T07:55:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_f0a5446b87a4b555"",""causeType"":""process_edge""}"
state_8c53845f6b9a8473,2026-08-10T07:55:00+02:00,resident,tommaso_bianchi,location,kitchen_01,home_exit,set,"{""causeId"":""action_2fcd2c319014c803"",""causeType"":""action_effect""}"
state_54440affd20699aa,2026-08-10T07:56:04.375000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_f0a5446b87a4b555"",""causeType"":""process_edge""}"
state_75f1cb8d917283c9,2026-08-10T08:05:00+02:00,resident,tommaso_bianchi,at_home,True,False,set,"{""causeId"":""action_f0a5446b87a4b555"",""causeType"":""action_effect""}"
state_c15e0e2a9b0f17e9,2026-08-10T08:05:00+02:00,resident,tommaso_bianchi,execution_state,performing_activity,moving,set,"{""causeId"":""action_0ec05db65712d43b"",""causeType"":""process_edge""}"
state_15e0f9020c3da4e8,2026-08-10T08:06:04.375000+02:00,resident,tommaso_bianchi,execution_state,moving,performing_activity,set,"{""causeId"":""action_0ec05db65712d43b"",""causeType"":""process_edge""}"
state_7a66c3309ff5f59b,2026-08-10T08:15:00+02:00,resident,tommaso_bianchi,location,home_exit,garden_workplace,set,"{""causeId"":""action_0ec05db65712d43b"",""causeType"":""action_effect""}"
state_2408633d97bd19ee,2026-08-10T10:55:00+02:00,resident,tommaso_bianchi,location,garden_workplace,garden_workplace,set,"{""causeId"":""action_ad3ec419f820b940"",""causeType"":""action_effect""}"
