movementId,actionExecutionId,actorId,startedAt,endedAt,originRegionId,destinationRegionId,distanceMeters,durationMicroseconds,waypoints
movement_a1cefc0de5c73d3c,action_5e2cb440bc24e157,tommaso_bianchi,2026-08-10T06:46:15+02:00,2026-08-10T06:46:15.833333+02:00,bedroom_01,bedroom_01,1.0,833333,"[{""at"":""2026-08-10T06:46:15+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T06:46:15.833333+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_8a2b5529e635f3c3,action_57658f07e65a9cc0,tommaso_bianchi,2026-08-10T06:47:30+02:00,2026-08-10T06:47:31.666667+02:00,bedroom_01,bedroom_01,2.0,1666667,"[{""at"":""2026-08-10T06:47:30+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T06:47:31.666667+02:00"",""position"":{""x"":2.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_dc5541c2ce9921ef,action_697c2e674853e365,tommaso_bianchi,2026-08-10T06:48:45+02:00,2026-08-10T06:48:46.666667+02:00,bedroom_01,bedroom_01,2.0,1666667,"[{""at"":""2026-08-10T06:48:45+02:00"",""position"":{""x"":2.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T06:48:46.666667+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_8154e1fe0a2657b0,action_b1b4dac205544a82,tommaso_bianchi,2026-08-10T06:50:00+02:00,2026-08-10T06:50:04.166667+02:00,bedroom_01,bathroom_01,5.0,4166667,"[{""at"":""2026-08-10T06:50:00+02:00"",""position"":{""x"":4.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T06:50:01.333333+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T06:50:02+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T06:50:04.166667+02:00"",""position"":{""x"":9.0,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""}]"
movement_af5d7c86700631b5,action_60f27f894b1701d6,tommaso_bianchi,2026-08-10T07:15:00+02:00,2026-08-10T07:15:05+02:00,bathroom_01,kitchen_01,6.0,5000000,"[{""at"":""2026-08-10T07:15:00+02:00"",""position"":{""x"":9.0,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:15:02.166667+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:15:02.833333+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:15:05+02:00"",""position"":{""x"":15.0,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""}]"
movement_62b7221b80cc5619,action_2fcd2c319014c803,tommaso_bianchi,2026-08-10T07:45:00+02:00,2026-08-10T07:46:12.500000+02:00,kitchen_01,garden_workplace,512.0,72500000,"[{""at"":""2026-08-10T07:45:00+02:00"",""position"":{""x"":15.0,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:45:00.368164+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:45:00.481445+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:45:01.217773+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:45:01.331055+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:45:01.699219+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:45:04.248047+02:00"",""position"":{""x"":3.0,""y"":21.0},""regionId"":""garden_workplace"",""traversalMode"":""transport""}]"
movement_84ce90ef0b49026f,action_f0a5446b87a4b555,tommaso_bianchi,2026-08-10T07:55:00+02:00,2026-08-10T07:56:04.375000+02:00,garden_workplace,bedroom_01,502.25,64375000,"[{""at"":""2026-08-10T07:55:00+02:00"",""position"":{""x"":3.0,""y"":21.0},""regionId"":""garden_workplace"",""traversalMode"":""walking""},{""at"":""2026-08-10T07:55:02.307118+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""transport""},{""at"":""2026-08-10T07:55:02.595508+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
movement_af808437eef4d496,action_0ec05db65712d43b,tommaso_bianchi,2026-08-10T08:05:00+02:00,2026-08-10T08:06:04.375000+02:00,bedroom_01,garden_workplace,502.25,64375000,"[{""at"":""2026-08-10T08:05:00+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T08:05:00.288390+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T08:05:02.595508+02:00"",""position"":{""x"":3.0,""y"":21.0},""regionId"":""garden_workplace"",""traversalMode"":""transport""}]"
movement_ff24ed0a143ea613,action_36a2d52edfe1d411,tommaso_bianchi,2026-08-10T16:15:00+02:00,2026-08-10T16:16:22.500000+02:00,garden_workplace,hallway_01,524.0,82500000,"[{""at"":""2026-08-10T16:15:00+02:00"",""position"":{""x"":3.0,""y"":21.0},""regionId"":""garden_workplace"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:02.833969+02:00"",""position"":{""x"":3.0,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""transport""},{""at"":""2026-08-10T16:15:03.243321+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:03.369275+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:04.187977+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:04.313931+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:05.132634+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:05.258588+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:06.077290+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:06.203244+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:15:06.612595+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""}]"
movement_60214321679cca71,action_bca88f19379a9e7d,tommaso_bianchi,2026-08-10T16:21:00+02:00,2026-08-10T16:21:21.875000+02:00,hallway_01,bedroom_01,26.25,21875000,"[{""at"":""2026-08-10T16:21:00+02:00"",""position"":{""x"":27.0,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:02.166667+02:00"",""position"":{""x"":24.4,""y"":3.0},""regionId"":""hallway_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:02.833333+02:00"",""position"":{""x"":23.6,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:07.166667+02:00"",""position"":{""x"":18.4,""y"":3.0},""regionId"":""living_room_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:07.833333+02:00"",""position"":{""x"":17.6,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:12.166667+02:00"",""position"":{""x"":12.4,""y"":3.0},""regionId"":""kitchen_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:12.833333+02:00"",""position"":{""x"":11.6,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:17.166667+02:00"",""position"":{""x"":6.4,""y"":3.0},""regionId"":""bathroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:17.833333+02:00"",""position"":{""x"":5.6,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""},{""at"":""2026-08-10T16:21:21.875000+02:00"",""position"":{""x"":0.75,""y"":3.0},""regionId"":""bedroom_01"",""traversalMode"":""walking""}]"
