observationId,origin,causeType,causeIds,residentIds,activityExecutionIds,actionExecutionIds
observation_7d56ccde7ad62bf1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_fd532b4e86dabc35,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_5164055a32af3155,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b1b15f7327a0e7d8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b38774a0ca198295,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_507f5d8b4774745d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_1d1233b666c2bb4b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b4ccdc8adc9e9f44,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_78a79820d86d5f99,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_4038287276441b5c,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_1446db997541d75b,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2e5ef0c4d43297f8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_a833291d08da38c8,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_e6d0824eaa2eaa47,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_2ae98671f73ca7a6,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_50e363b7465f6202,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_d959371bf0620c8d,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_48b807db45bdb600,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_827c0e6c8395bfa1,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_45aab1e285a7cf62,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
observation_b832f3a77da7ce74,environment_model,trace,"[""trace_48b1367f28cccac5""]",[],[],[]
